Date,USD
5/1/2015,63.3888
2/1/2015,63.2878
1/1/2015,63.3213
31/12/2014,63.3315
30/12/2014,63.7498
29/12/2014,63.6539
26/12/2014,63.6355
24/12/2014,63.4614
23/12/2014,63.4475
22/12/2014,63.1757
19/12/2014,63.067
18/12/2014,63.3161
17/12/2014,63.5813
16/12/2014,63.4135
15/12/2014,62.6529
12/12/2014,62.4422
11/12/2014,62.2059
10/12/2014,61.95
9/12/2014,61.875
8/12/2014,61.9253
5/12/2014,61.8535
4/12/2014,61.8771
3/12/2014,61.8866
2/12/2014,61.9255
1/12/2014,62.1377
28/11/2014,61.9736
27/11/2014,61.865
26/11/2014,61.8658
25/11/2014,61.9195
24/11/2014,61.7798
21/11/2014,61.8505
20/11/2014,62.1044
19/11/2014,61.828
18/11/2014,61.808
17/11/2014,61.678
14/11/2014,61.6475
13/11/2014,61.556
12/11/2014,61.4785
11/11/2014,61.55
10/11/2014,61.4513
7/11/2014,61.5205
5/11/2014,61.387
3/11/2014,61.4118
31/10/2014,61.408
30/10/2014,61.4636
29/10/2014,61.3175
28/10/2014,61.3524
27/10/2014,61.229
22/10/2014,61.2355
21/10/2014,61.2967
20/10/2014,61.2873
17/10/2014,61.6165
16/10/2014,61.4795
14/10/2014,61.1078
13/10/2014,61.2455
10/10/2014,61.1624
9/10/2014,61.0368
8/10/2014,61.4648
7/10/2014,61.3595
1/10/2014,61.7511
30/09/2014,61.6135
29/09/2014,61.4273
26/09/2014,61.572
25/09/2014,61.0245
24/09/2014,61.0293
23/09/2014,60.8708
22/09/2014,60.7875
19/09/2014,60.8055
18/09/2014,61.0558
17/09/2014,60.954
16/09/2014,61.1015
15/09/2014,60.9945
12/9/2014,60.84
11/9/2014,60.9155
10/9/2014,60.8256
9/9/2014,60.4277
8/9/2014,60.2628
5/9/2014,60.4385
4/9/2014,60.454
3/9/2014,60.5445
2/9/2014,60.61
1/9/2014,60.4735
28/08/2014,60.4745
27/08/2014,60.4678
26/08/2014,60.496
25/08/2014,60.427
22/08/2014,60.436
21/08/2014,60.767
20/08/2014,60.669
19/08/2014,60.726
14/08/2014,61.0583
13/08/2014,61.2458
12/8/2014,61.1847
11/8/2014,61.1165
8/8/2014,61.5575
7/8/2014,61.4123
6/8/2014,61.336
5/8/2014,60.869
4/8/2014,61.0187
1/8/2014,60.851
31/07/2014,60.246
30/07/2014,60.1485
28/07/2014,60.1013
25/07/2014,60.1448
24/07/2014,60.002
23/07/2014,60.183
22/07/2014,60.236
21/07/2014,60.1853
18/07/2014,60.33
17/07/2014,60.1401
16/07/2014,60.1903
15/07/2014,60.2195
14/07/2014,60.005
11/7/2014,60.1855
10/7/2014,59.875
9/7/2014,59.726
8/7/2014,59.7968
7/7/2014,59.9455
4/7/2014,59.7939
3/7/2014,59.7225
2/7/2014,59.9745
1/7/2014,60.137
30/06/2014,60.0933
27/06/2014,60.0958
26/06/2014,60.1618
25/06/2014,60.2785
24/06/2014,60.105
23/06/2014,60.1927
20/06/2014,60.2785
19/06/2014,60.0031
18/06/2014,60.124
17/06/2014,60.368
16/06/2014,60.0059
13/06/2014,59.4783
12/6/2014,59.3283
11/6/2014,59.325
10/6/2014,59.2647
9/6/2014,59.0605
6/6/2014,59.197
5/6/2014,59.2973
4/6/2014,59.336
3/6/2014,59.2125
2/6/2014,59.1385
30/05/2014,59.0335
29/05/2014,58.8415
28/05/2014,59.077
27/05/2014,59.0585
26/05/2014,58.5873
23/05/2014,58.483
22/05/2014,58.574
21/05/2014,58.7725
20/05/2014,58.7455
19/05/2014,58.426
16/05/2014,58.861
15/05/2014,59.4745
13/05/2014,59.8773
12/5/2014,59.729
9/5/2014,60.054
8/5/2014,59.9913
7/5/2014,60.0399
6/5/2014,60.202
5/5/2014,60.0475
2/5/2014,60.225
30/04/2014,60.3375
29/04/2014,60.5253
28/04/2014,60.5041
25/04/2014,61.1163
23/04/2014,61.0683
22/04/2014,60.7147
21/04/2014,60.335
17/04/2014,60.3805
16/04/2014,60.2263
15/04/2014,60.262
